Antechinus minimus,{tail length},5
Antechinus naso,{body length},2
Antechinus naso,{ear length to notch},1
Antechinus naso,{tail length},2
Antechinus stuartii,{body length},22
Antechinus stuartii,{body mass},12
Antechinus stuartii,{ear length to notch},16
Antechinus stuartii,{tail length},22
Antechinus swainsonii,{body length},6
Antechinus swainsonii,{body mass},1
Antechinus swainsonii,{ear length to notch},1
Antechinus swainsonii,{tail length},6
Antidorcas marsupialis,{body length},7
Antidorcas marsupialis,{body mass},1
Antidorcas marsupialis,{ear length to notch},7
Antidorcas marsupialis,{tail length},7
Antilocapra americana,{body length},37
Antilocapra americana,{body mass},8
Antilocapra americana,{ear length to notch},36
Antilocapra americana,{tail length},33
Antilope cervicapra,{body length},4
Antilope cervicapra,{body mass},1
Antilope cervicapra,{ear length to notch},5
Antilope cervicapra,{tail length},5
Antrozous pallidus,{body length},427
Antrozous pallidus,{body mass},241
Antrozous pallidus,{ear length to notch},564
Antrozous pallidus,{tail length},421
Antrozous sp.,{body length},1
Antrozous sp.,{body mass},1
Antrozous sp.,{ear length to notch},1
Antrozous sp.,{tail length},1
Aonyx capensis,{body length},1
Aonyx capensis,{ear length to notch},1
Aonyx capensis,{tail length},1
Aonyx cinerea,{body length},4
Aonyx cinerea,{body mass},2
Aonyx cinerea,{ear length to notch},3
Aonyx cinerea,{tail length},3
Aonyx cinereus,{body length},5
Aonyx cinereus,{ear length to notch},5
Aotus,{ear length to notch},1
Aotus hershkovitzi,{body length},1
Aotus hershkovitzi,{body mass},1
Aotus hershkovitzi,{ear length to notch},1
Aotus hershkovitzi,{tail length},1
Aotus lemurinus,{body length},3
Aotus lemurinus,{tail length},3
Aotus nancymaae,{ear length to notch},1
Aotus nancymaae,{tail length},1
Aotus nigriceps,{body length},1
Aotus nigriceps,{ear length to notch},1
Aotus nigriceps,{tail length},1
Aotus sp.,{body length},3
Aotus sp.,{ear length to notch},3
Aotus sp.,{tail length},3
Aotus trivirgatus,{body length},8
Aotus trivirgatus,{body mass},2
Aotus trivirgatus,{ear length to notch},8
Aotus trivirgatus,{tail length},8
Aplodontia rufa,{body length},377
Aplodontia rufa,{body mass},228
Aplodontia rufa,{ear length to notch},289
Aplodontia rufa,{lower tooth row length},15
Aplodontia rufa,{tail length},368
Aplodontia rufa,{upper secondary molar tooth 1 occlusal surface width},15
Apodemus,{body length},6
Apodemus,{body mass},4
Apodemus,{ear length to notch},5
Apodemus,{tail length},5
Apodemus agrarius,{body length},331
Apodemus agrarius,{body mass},350
Apodemus agrarius,{ear length to notch},338
Apodemus agrarius,{tail length},330
Apodemus argenteus,{body length},6
Apodemus argenteus,{body mass},3
Apodemus argenteus,{ear length to notch},6
Apodemus argenteus,{tail length},6
Apodemus chevrieri,{body length},44
Apodemus chevrieri,{body mass},40
Apodemus chevrieri,{ear length to notch},43
Apodemus chevrieri,{tail length},41
Apodemus draco,{body length},79
Apodemus draco,{body mass},76
Apodemus draco,{ear length to notch},78
Apodemus draco,{tail length},77
Apodemus flavicollis,{body length},38
Apodemus flavicollis,{body mass},39
Apodemus flavicollis,{ear length to notch},40
Apodemus flavicollis,{tail length},41
Apodemus latronum,{body length},11
Apodemus latronum,{body mass},11
Apodemus latronum,{ear length to notch},11
Apodemus latronum,{tail length},11
Apodemus mystacinus,{body length},1
